watching 2 hot mints
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     76,231,550.61 dd=  0.0%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     76,139,896.85 dd=  0.1%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     76,096,792.29 dd=  0.2%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     74,554,251.90 dd=  2.2%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     75,487,846.58 dd=  1.0%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     75,492,546.36 dd=  1.0%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     76,208,340.95 dd=  0.0%
  Stunk-SOL          vault= 80,000,044,700.32 dd=  0.0%
  MIZO-SOL           vault=     75,491,275.62 dd=  1.0%
