HTTP 429 for https://api.geckoterminal.com/api/v2/networks/bsc/new_pools?page=1
fast_discover: 20 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 14, reserves read: 14, BNB=$754.2 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.3 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.4 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.4 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.5 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.0 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.0 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.0 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.0 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.6 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$754.9 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.2 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.1 -> bsc_flow.jsonl (lp-gated: 1842 known)
base: pools watched: 2, reserves read: 2, ETH=$2478.7 -> base_flow.jsonl (lp-gated: 464 known)
loop done (bsc,base): 30 cycles, 0 errors, 9.0 min
