fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$752.9 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$752.9 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$752.9 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$752.9 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.0 -> bsc_flow.jsonl (lp-gated: 1522 known)
base: pools watched: 0, reserves read: 0, ETH=$2509.2 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.1 -> bsc_flow.jsonl (lp-gated: 1522 known)
