HTTP 429 for https://api.geckoterminal.com/api/v2/networks/bsc/new_pools?page=1
HTTP 429 for https://api.geckoterminal.com/api/v2/networks/base/new_pools?page=1
fast_discover: 0 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$716.0 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.9 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$716.0 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.9 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.7 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.5 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.6 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.5 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$714.7 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$714.5 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$714.3 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$714.6 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.5 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.4 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
bsc: pools watched: 7, reserves read: 7, BNB=$715.8 -> bsc_flow.jsonl (lp-gated: 1217 known)
base: pools watched: 1, reserves read: 1, ETH=$2509.1 -> base_flow.jsonl (lp-gated: 307 known)
