fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.3 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.3 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.8 -> base_flow.jsonl (lp-gated: 430 known)
bsc: pools watched: 7, reserves read: 7, BNB=$740.4 -> bsc_flow.jsonl (lp-gated: 1662 known)
