fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 436 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 436 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 436 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.2 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2482.7 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.2 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2482.7 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.2 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2482.7 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.2 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2482.7 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2482.7 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2482.7 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$739.9 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2483.0 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2483.0 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.0 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2483.0 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.1 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2483.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.2 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2483.2 -> base_flow.jsonl (lp-gated: 437 known)
bsc: pools watched: 8, reserves read: 8, BNB=$740.2 -> bsc_flow.jsonl (lp-gated: 1733 known)
base: pools watched: 0, reserves read: 0, ETH=$2483.2 -> base_flow.jsonl (lp-gated: 437 known)
