fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 5, reserves read: 5, BNB=$751.4 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.4 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.3 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.2 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.5 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.5 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.6 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.6 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.7 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.6 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.8 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$751.7 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2519.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$750.7 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2516.0 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$750.4 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.9 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$750.1 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2512.2 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$749.8 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2511.9 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$749.7 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2507.7 -> base_flow.jsonl (lp-gated: 501 known)
bsc: pools watched: 5, reserves read: 5, BNB=$749.7 -> bsc_flow.jsonl (lp-gated: 1955 known)
base: pools watched: 0, reserves read: 0, ETH=$2508.1 -> base_flow.jsonl (lp-gated: 501 known)
loop done (bsc,base): 18 cycles, 0 errors, 4.0 min
