HTTP 429 for https://api.geckoterminal.com/api/v2/networks/base/new_pools?page=1
fast_discover: 20 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2418.5 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.2 -> bsc_flow.jsonl (lp-gated: 811 known)
base: pools watched: 7, reserves read: 7, ETH=$2419.0 -> base_flow.jsonl (lp-gated: 220 known)
bsc: pools watched: 23, reserves read: 23, BNB=$682.3 -> bsc_flow.jsonl (lp-gated: 811 known)
