watching 4 hot mints
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,216,582.94 dd=  0.0%
  MPAIR-SOL          vault=     95,381,826.20 dd= 19.3%
  THUNKER-SOL        vault=    197,464,468.42 dd=  8.3%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,228,593.47 dd=  0.0%
  MPAIR-SOL          vault=     94,764,642.62 dd= 19.8%
  THUNKER-SOL        vault=    197,343,313.58 dd=  8.3%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,228,593.47 dd=  0.0%
  MPAIR-SOL          vault=     91,722,735.50 dd= 22.4%
  THUNKER-SOL        vault=    198,030,015.92 dd=  8.0%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,136,770.31 dd=  0.1%
  MPAIR-SOL          vault=     92,289,645.73 dd= 21.9%
  THUNKER-SOL        vault=    198,058,178.74 dd=  8.0%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,137,896.71 dd=  0.1%
  MPAIR-SOL          vault=     93,511,207.31 dd= 20.9%
  THUNKER-SOL        vault=    198,532,253.43 dd=  7.8%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    149,189,304.34 dd=  0.7%
  MPAIR-SOL          vault=     93,827,758.05 dd= 20.6%
  THUNKER-SOL        vault=    198,438,672.95 dd=  7.8%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,194,019.87 dd=  0.0%
  MPAIR-SOL          vault=     94,033,480.73 dd= 20.4%
  THUNKER-SOL        vault=    198,251,793.46 dd=  7.9%
  DGAI-SOL           vault= 80,000,010,852.46 dd=  0.0%
  Stable-SOL         vault=    150,261,562.84 dd=  0.0%
  MPAIR-SOL          vault=     94,568,594.20 dd= 20.0%
  THUNKER-SOL        vault=    198,205,066.21 dd=  7.9%
