fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$771.7 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.7 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.7 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.7 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.7 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.7 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.6 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.5 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.5 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.5 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.5 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.5 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.5 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.7 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.4 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.3 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.3 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.3 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
base: pools watched: 4, reserves read: 4, ETH=$2476.9 -> base_flow.jsonl (lp-gated: 357 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$771.2 -> bsc_flow.jsonl (lp-gated: 1391 known)
