fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$694.7 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.7 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.7 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.7 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.8 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.8 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.7 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.8 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.8 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.8 -> bsc_flow.jsonl (lp-gated: 1002 known)
base: pools watched: 10, reserves read: 10, ETH=$2398.4 -> base_flow.jsonl (lp-gated: 278 known)
bsc: pools watched: 7, reserves read: 7, BNB=$694.7 -> bsc_flow.jsonl (lp-gated: 1002 known)
