tracking 29 hits

name                   chain    status  exit      FR  peak   now        ret
JEW / SOL              solana   closed  timestop  F     1.0x   1.0x     -0%
BALD / ETH 0.05%       base     closed  timestop  F     1.0x   1.0x     +0%
🐵GPTC / WBNB           bsc      closed  timestop  F     1.0x   1.0x     +0%
孙小圣 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
CLAYMO / WETH          eth      closed  timestop  F     1.0x   0.0x   -100%
CE / WBNB              bsc      closed  timestop  F     1.2x   1.2x    -12%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
MSFT / SOL             solana   closed  trail     F     1.0x   0.0x   -100%
BAD🔥 / WBNB            bsc      closed  timestop  F     1.2x   0.0x   -100%
幸运资本 / WBNB            bsc      closed  timestop  F     1.0x   0.0x   -100%
🐶CM / WBNB             bsc      closed  timestop  F     1.0x   0.0x   -100%
孙割3000 / SOL           solana   closed  timestop  F     1.0x   1.0x     +0%
GOODMORNINGDRAGONS /   base     closed  timestop  F     1.0x   1.0x     +0%
NARTRXDATA / ETH 0.3   base     closed  timestop  F     1.0x   1.0x     +0%
SNOONINU / WETH        eth      closed  trail     F     1.0x   0.0x   -100%
TRUMPSTACY / SOL       solana   closed  trail     T     2.3x   0.0x    +37%
¥1 / SOL               solana   closed  timestop  F     1.0x   1.0x     -1%
PIF / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
NARTRXDATA / ETH 0.3   base     closed  timestop  F     1.0x   1.0x     +0%
DAGWOODV / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
Optimus / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
Dancingcat / WETH      base     closed  timestop  F     1.0x   0.0x     +0%
4 / USDT               bsc      closed  timestop  F     1.0x   1.0x     +0%
COBIE / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
KOBRA / WETH           eth      closed  trail     F     1.0x   0.0x   -100%
MEME / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
SHUFFLE / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
XSHUFFLE / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
HOUSE / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
BOUNTY / WETH          eth      closed  trail     F     1.0x   0.0x   -100%
CASPLAT / SOL          solana   closed  timestop  F     1.0x   0.4x     -0%
OMOF / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
OpenAI / USDC          base     closed  timestop  F     1.0x   1.0x     -0%
testmeta / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
Tunekr / ETH 0.3%      base     closed  timestop  F     1.0x   1.0x     +0%
META / SOL             solana   open    None      T     1.8x   1.8x    +58%
PUP / SOL              solana   closed  timestop  F     1.0x   1.0x     -0%
UOR / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
LAIKA / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
FOURTEEN / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
AUR / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
testmeta / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
POWERUSERS / WETH      base     closed  timestop  F     1.0x   0.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   0.1x     +0%
躺赢 / WBNB              bsc      closed  timestop  F     1.0x   0.0x     +0%
UNIFART / WETH         eth      closed  trail     F     1.0x   0.0x   -100%
COE / WETH             eth      closed  timestop  F     1.0x   0.2x     +0%
APD / WETH             eth      closed  timestop  F     1.0x   1.0x     +0%
豹拉 / WBNB              bsc      closed  timestop  F     1.0x   0.0x     +0%
LIFE / SOL             solana   closed  timestop  F     1.0x   1.0x     +0%
Unfoller / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
SPEEDBS / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
testmeta / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
BASELINE / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
AAPL / SOL             solana   closed  trail     T     3.2x   0.2x    +17%
