fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 1, reserves read: 1, BNB=$721.4 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.4 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.3 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.3 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.3 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.5 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.6 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.6 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.6 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1278 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.6 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1278 known)
