fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.7 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.5 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.5 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.6 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.5 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.5 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.4 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.3 -> bsc_flow.jsonl (lp-gated: 1243 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 312 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.3 -> bsc_flow.jsonl (lp-gated: 1243 known)
