fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1613 known)
base: pools watched: 0, reserves read: 0, ETH=$2493.1 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2493.1 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.9 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2493.1 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.9 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2493.1 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.9 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2493.2 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.9 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2493.2 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2492.4 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1614 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.9 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.9 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.8 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.8 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.8 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.8 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$743.8 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.1 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.0 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.1 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.1 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.1 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.2 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.3 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.3 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
bsc: pools watched: 3, reserves read: 3, BNB=$744.3 -> bsc_flow.jsonl (lp-gated: 1616 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 424 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$744.3 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.3 -> bsc_flow.jsonl (lp-gated: 1617 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1620 known)
base: pools watched: 0, reserves read: 0, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 425 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.4 -> bsc_flow.jsonl (lp-gated: 1620 known)
