fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 14, reserves read: 14, BNB=$755.8 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.8 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$755.9 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.6 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.4 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.5 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.5 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.5 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.9 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2487.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.9 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2489.7 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.9 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2491.3 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$756.9 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$757.0 -> bsc_flow.jsonl (lp-gated: 1830 known)
base: pools watched: 2, reserves read: 2, ETH=$2491.9 -> base_flow.jsonl (lp-gated: 459 known)
bsc: pools watched: 14, reserves read: 14, BNB=$757.2 -> bsc_flow.jsonl (lp-gated: 1830 known)
